시도,사고유형,발생건수,대형사고,중대사고(여객),중대사고(화물),사망자수,치사율(%)
서울,횡단중,"9,911",0,0,152,219,2.21
서울,차도통행중,"2,795",0,0,22,60,2.15
서울,길가장자리구역통행중,"1,767",0,0,17,11,0.62
서울,보도통행중,"1,793",0,0,14,23,1.28
서울,차대사람-기타,"11,279",0,0,95,121,1.07
서울,정면충돌,"2,808",0,1,14,35,1.25
서울,측면직각충돌,"36,753",7,4,169,102,0.28
서울,추돌(진행중),"18,257",5,3,86,40,0.22
서울,후진중추돌,"1,346",0,0,6,0,0
서울,차대차-기타,"23,016",7,3,89,83,0.36
서울,공작물추돌,727,1,0,1,45,6.19
서울,도로외이탈(추락),11,0,0,0,0,0
서울,도로외이탈(기타),10,0,0,0,0,0
서울,주차차량추돌,6,0,0,0,0,0
서울,전도,320,0,0,0,8,2.5
서울,전복,25,0,0,2,1,4
서울,차량단독-기타,"2,456",0,1,0,25,1.02
합계,,"113,280",20,12,667,773,
